MC1	MC2	MC3	Code	PRIO	DEFINITIE
Dienstverlening	Brandweer	Bijstand	dvbwbs	4	Bijstand aanvraag/-inzet van de brandweer voor (grootschalige) inzet buiten het werkgebied van de alarmcentrale.
Dienstverlening	Brandweer	Dienst aan derden	dvbwdd	4	Het verlenen van diensten aan derden door de Brandweer
Dienstverlening	Brandweer	Geplande actie	dvbwga	5	Acties van de brandweer die, op zich, niet op onverwacht voordoende incidenten gebaseerd zijn maar van te voren gepland zijn. Onder andere bij oefeningen en stand-by staan bij evenementen.
Dienstverlening	Brandweer	Herbez./Kazern.	dvbwhb	5	Acties van de brandweer om een kazerne die zelf geen eenheden meer kan leveren, in verband met de inzet, bij een incident of anderszins bezet te krijgen voor de noodzaakelijk geachte dekking in een bepaald gebied.
Dienstverlening	Brandweer	Liftopsluiting	dvbwlo	3	Melding van/inzet voor mensen die vast in een lift zitten waarbij inzet van de brandweer wenselijk geacht wordt in verband met lange wachttijd op de liftmonteur.
Dienstverlening	Brandweer	Oefening	dvbwoe	5	Het verwerken van een fictief incident, voor trainingsdoeleinden.
Dienstverlening	Brandweer	Testmelding	dvbwtm	5	Het verwerken van een testmelding, voor doeleinden om berichtaflevering/aansturing te testen
Dienstverlening	Dienst door derden		dvdd	5	Het gaat hier om een bij de MK binnen gekomen hulpvraag waarvan geconcludeerd wordt dat het niet nodig is 1 van de disciplines te betrekken (anders dan de centralist waarbij die binnen gekomen is) en die niet onder 1 van de andere MC’s te plaatsen is en die beter door een andere niet direct aan de OOV diensten gelieerde partij af te handelen is.
Dienstverlening	Dieren		dvdi	3	Hulpverlening in verband met dieren.
Dienstverlening	Dieren	Dier in problemen	dvdipb	3	Hulpverlening aan een dier in problemen, niet specifiek benoemd.
Dienstverlening	Dieren	In of op ijs	dvdiij	3	Hulpverlening aan een dier dat door het ijs is gezakt of dreigt te zakken of is vastgevroren en waarvan naar redelijkheid niet verwacht kan worden dat het zelfstandig uit het water/van het ijs kan komen.
Dienstverlening	Dieren	In put/bassin/kelder	dvdipu	3	Hulpverlening aan een dier dat zich bevindt in een opslagruimte voor vloeistof/mest of andere stof waarin het kan zinken.
Dienstverlening	Dieren	Op hoogte	dvdiho	3	Hulpverlening aan een dier dat zich op een plek hoog boven de grond bevindt waarvan redelijkerwijs niet verwacht mag worden dat het dier zelf weer de normale leefomgeving kan bereiken.
Dienstverlening	Dieren	Te water	dvdiwa	3	Hulpverlening aan een dier dat te water is geraakt en waarvan naar alle redelijkheid niet verwacht kan worden dat het zelfstandig weer uit het water kan komen.
Dienstverlening	KMAR		dvkm	3	Inzet van de KMAR.
Dienstverlening	KMAR	Afstemverzoek	dvkav	5	Verzoek van de alarmcentrale aan contactpersoon van de KMAR in een bepaald gebied, om contact op te nemen met de meldkamer voor overleg hoe om te gaan met een niet spoedeisende, mogelijk nog nader te classificeren zaak.
Dienstverlening	KMAR	Begeleiden	dvkmbg	3	Inzet van de KMAR bij de begeleiding van personen  en goederen.
Dienstverlening	KMAR	Beveil. waardetransport	dvkmwd	3	Inzet van de KMAR bij het beveiligen van een waardetransport.
Dienstverlening	KMAR	Bijstand	dvkmbs	3	Bijstand aanvraag/-inzet van de KMAR.
Dienstverlening	KMAR	Dienst aan derden	dvkmdd	3	Het verlenen van diensten aan derden door de KMAR
